ID_CLIENT,MOIS_RDV,AGE,CSP,SEGMENT_MARCHE,SEGMENT_COMPORTEMENTAL,SEXE,ANCIENNETE_ANNEES,REGION,ENCOURS_DAV_M6,ENCOURS_DAV_M3,ENCOURS_DAV_M1,ENCOURS_DAV_M,ENCOURS_DAV_P1,ENCOURS_DAV_P3,ENCOURS_DAV_P6,ENCOURS_EPARGNE_M6,ENCOURS_EPARGNE_M3,ENCOURS_EPARGNE_M1,ENCOURS_EPARGNE_M,ENCOURS_EPARGNE_P1,ENCOURS_EPARGNE_P3,ENCOURS_EPARGNE_P6,ENCOURS_CREDIT_M6,ENCOURS_CREDIT_M3,ENCOURS_CREDIT_M1,ENCOURS_CREDIT_M,ENCOURS_CREDIT_P1,ENCOURS_CREDIT_P3,ENCOURS_CREDIT_P6,FLUX_ENTRANTS_M6,FLUX_ENTRANTS_M3,FLUX_ENTRANTS_M1,FLUX_ENTRANTS_M,FLUX_ENTRANTS_P1,FLUX_ENTRANTS_P3,FLUX_ENTRANTS_P6,NB_PRODUITS_M6,NB_PRODUITS_M3,NB_PRODUITS_M1,NB_PRODUITS_M,NB_PRODUITS_P1,NB_PRODUITS_P3,NB_PRODUITS_P6,NB_CONNEXIONS_DIGITALES_M6,NB_CONNEXIONS_DIGITALES_M3,NB_CONNEXIONS_DIGITALES_M1,NB_CONNEXIONS_DIGITALES_M,NB_CONNEXIONS_DIGITALES_P1,NB_CONNEXIONS_DIGITALES_P3,NB_CONNEXIONS_DIGITALES_P6
B000011,2025-04,48,Sans activité,Intermédiaire,Mixte,M,32.6,Nord-Est,2621.48,2636.0,2503.44,2680.19,2377.45,2781.67,2675.9,12208.71,14028.0,12965.53,13706.39,14502.84,14100.57,14974.39,2246.12,2394.63,2094.63,2252.75,2135.34,2079.55,2328.73,2164.61,2162.54,2014.41,2039.95,2067.06,2074.57,2043.75,3.0,3.0,3.0,3.0,3.0,4.0,,14.0,15.0,16.0,15.0,19.0,17.0,18.0
B000012,2025-11,50,Ouvrier,Grand Public,Agence,M,18.2,Sud-Est,1456.74,1532.27,1444.64,1582.24,1390.37,,,1942.82,1994.04,1776.13,1942.3,2026.32,,,7074.92,7364.21,7858.74,7217.75,6852.69,,,1594.26,1828.22,1762.93,1787.86,1822.3,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,
B000013,2025-08,49,Cadre,Intermédiaire,Digital,M,21.8,Centre,4370.09,3668.55,4258.88,4112.7,4190.44,4271.56,,121766.7,127184.15,118847.25,126985.78,125213.8,129690.07,,0.0,0.0,0.0,0.0,0.0,0.0,,1791.85,1674.13,1896.3,1890.21,1905.51,1876.15,,3.0,3.0,3.0,3.0,3.0,3.0,,21.0,21.0,23.0,22.0,23.0,25.0,
B000014,2025-10,41,Retraité,Grand Public,Digital,M,30.3,Nord-Est,3672.11,4002.04,3849.65,3899.1,3855.91,,,7346.61,6873.91,7143.31,7495.01,7833.11,,,0.0,0.0,0.0,0.0,0.0,,,902.05,821.07,863.08,779.19,932.52,,,6.0,,6.0,6.0,6.0,,,19.0,21.0,20.0,19.0,23.0,,
B000015,2025-05,32,Employé,Grand Public,Digital,M,10.0,Sud-Ouest,2799.09,2619.96,2711.7,3041.33,2826.42,2855.39,2925.28,29670.57,34928.33,36852.26,36243.09,35393.18,33515.48,37207.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.75,1739.38,1679.67,2022.26,1794.4,1867.87,1947.27,7.0,6.0,7.0,7.0,7.0,7.0,7.0,30.0,30.0,31.0,33.0,31.0,36.0,35.0
B000016,2025-03,53,Profession intermédiaire,Intermédiaire,Agence,F,11.0,Nord-Est,2544.07,2647.26,2686.37,2463.27,2708.69,2519.32,2758.33,11225.69,10014.89,10937.29,10571.12,11149.75,12517.97,11961.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2905.33,2893.19,3117.57,2726.11,3129.84,2766.79,3178.81,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B000017,2025-06,45,Profession intermédiaire,Grand Public,Agence,M,24.9,Sud-Ouest,3419.82,3643.87,3596.27,3958.67,4130.25,3686.81,3804.17,7835.19,7983.06,8217.87,7893.34,8480.93,,9399.04,409.05,400.4,439.52,423.47,430.05,388.68,453.13,2291.65,2286.7,2319.57,2195.76,2352.42,2150.15,2495.83,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
B000018,2025-01,56,Ouvrier,Grand Public,Agence,M,4.7,Centre,1268.25,1314.24,1341.68,1291.76,1228.43,1375.9,1306.63,23502.01,19985.55,24430.4,22015.52,23456.14,22774.05,24640.65,0.0,,0.0,0.0,0.0,0.0,0.0,2726.02,2623.45,2790.9,3060.62,3167.54,2985.02,3032.59,5.0,5.0,5.0,5.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B000019,2025-10,54,Profession intermédiaire,Grand Public,Digital,M,13.1,Sud-Est,1437.25,1722.09,1604.78,1627.14,1468.29,,,2792.36,2931.66,2657.51,2827.98,2696.06,,,0.0,0.0,0.0,0.0,0.0,,,2771.88,3010.22,2632.91,2956.22,2900.57,,,7.0,7.0,7.0,7.0,7.0,,,16.0,15.0,15.0,16.0,18.0,,
B000020,2025-08,28,Employé,Intermédiaire,Agence,F,16.0,Nord-Ouest,3900.76,3507.74,3618.04,3948.6,4069.2,3752.18,,10968.12,10274.64,11035.09,10468.56,10654.71,10805.29,,0.0,0.0,0.0,0.0,0.0,0.0,,6306.86,6091.19,6996.34,6793.5,6635.66,6668.32,,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,
B000021,2025-10,28,Ouvrier,Grand Public,Digital,M,20.1,Centre,785.75,857.06,877.97,857.05,871.85,,,16424.4,15545.9,16514.93,16884.95,16010.2,,,0.0,0.0,0.0,0.0,0.0,,,1198.94,1109.18,1127.17,1141.84,1057.61,,,3.0,3.0,3.0,3.0,3.0,,,28.0,26.0,28.0,29.0,32.0,,
B000022,2025-04,36,Cadre,Patrimonial,Digital,F,8.2,Sud-Ouest,4480.2,4233.03,3902.36,4202.7,4174.91,4397.0,4110.99,22121.15,22964.6,22467.88,21351.66,21905.02,24360.95,25483.46,8289.05,8073.62,8046.04,8198.7,8228.92,8055.67,8153.71,3005.61,2927.82,3061.22,3081.62,3139.0,3159.54,2871.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,20.0,21.0,20.0,22.0,27.0,26.0,26.0
B000023,2025-12,32,Sans activité,Patrimonial,Mixte,M,8.0,Sud-Ouest,24570.18,23996.42,22618.18,24701.41,,,,15419.95,16104.87,15495.42,16052.85,,,,0.0,0.0,0.0,0.0,,,,3606.55,3513.88,3042.09,2891.04,,,,2.0,2.0,2.0,2.0,,,,11.0,11.0,11.0,10.0,,,
B000024,2025-11,54,Profession intermédiaire,Intermédiaire,Mixte,F,15.2,Île-de-France,11926.01,12502.15,12300.8,11704.66,12209.15,,,42872.51,48894.36,47666.05,46930.13,48064.39,,,3229.2,3404.19,3707.86,3422.41,3721.17,,,1775.19,1894.81,1825.65,1802.73,2042.41,,,7.0,6.0,6.0,6.0,6.0,,,12.0,11.0,11.0,11.0,13.0,,
B000025,2025-10,49,Profession intermédiaire,Grand Public,Agence,F,24.5,Nord-Est,11492.42,12471.18,13708.71,11799.93,12422.29,,,30884.26,34456.47,36599.46,31224.0,30931.59,,,602.01,659.45,673.25,640.27,596.23,,,1522.4,1495.8,1551.59,1595.51,1481.38,,,3.0,3.0,3.0,3.0,3.0,,,4.0,4.0,4.0,4.0,4.0,,
B000026,2025-03,58,Ouvrier,Intermédiaire,Digital,M,7.5,Nord-Ouest,6335.86,6571.22,5888.34,6524.68,6748.83,7630.3,6516.1,68516.88,76210.26,78372.54,73437.87,78895.12,80106.13,80277.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2817.68,2974.09,2991.14,3003.18,3057.92,3073.11,3116.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,16.0,15.0,15.0,19.0,18.0,20.0
B000027,2025-05,50,Employé,Grand Public,Digital,F,16.7,Île-de-France,3899.88,3727.14,3826.51,3945.75,3607.35,3766.85,3549.64,4580.6,4354.23,3989.26,4527.8,4153.53,4329.73,4371.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2371.95,2507.22,2470.62,2530.35,2741.05,2559.71,2436.97,4.0,4.0,4.0,4.0,4.0,4.0,5.0,21.0,22.0,22.0,20.0,24.0,24.0,22.0
B000028,2025-01,48,Employé,Patrimonial,Mixte,F,12.5,Centre,8608.2,8755.4,7534.74,8187.55,8330.67,8581.62,9070.75,16928.23,20416.76,18407.86,18837.91,19284.1,19414.2,19216.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.4,1736.34,1748.92,1686.05,1753.37,1743.07,1748.91,4.0,4.0,4.0,4.0,4.0,4.0,5.0,10.0,10.0,10.0,10.0,11.0,12.0,13.0
B000029,2025-02,59,Employé,Grand Public,Digital,F,34.1,Île-de-France,2093.27,2111.72,2051.21,2001.35,2305.64,2150.41,2209.19,5339.51,5819.22,5418.27,5658.28,5771.84,6083.47,6815.93,1270.42,1243.17,1184.61,1251.66,1190.23,1227.97,1243.15,788.36,783.34,826.12,823.83,878.91,883.2,901.42,3.0,3.0,3.0,3.0,3.0,3.0,3.0,21.0,19.0,21.0,22.0,27.0,25.0,27.0
B000030,2025-09,51,Retraité,Grand Public,Agence,F,13.9,Sud-Est,4203.64,4572.28,4361.53,4165.16,4612.79,4778.68,,14966.76,15989.1,17235.23,16729.14,16190.13,16497.59,,2475.34,2918.25,2620.82,2916.06,3067.59,2917.95,,1624.03,1603.82,1482.64,1709.58,1516.75,1630.34,,5.0,5.0,5.0,5.0,5.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,
B000031,2025-09,46,Retraité,Grand Public,Digital,F,12.8,Sud-Est,5856.9,6229.68,6068.94,6014.23,6517.87,6497.74,,2279.05,2356.17,2231.18,2251.53,2533.01,2504.73,,806.51,725.85,764.7,759.85,741.4,766.57,,1272.94,1537.6,1344.45,1484.66,1422.32,1438.2,,3.0,3.0,3.0,3.0,3.0,3.0,,29.0,28.0,26.0,29.0,32.0,30.0,
B000032,2025-12,63,Retraité,Intermédiaire,Digital,F,16.6,Sud-Ouest,9094.44,8643.01,9224.31,9124.0,,,,5245.45,4818.88,5433.37,5508.29,,,,0.0,0.0,0.0,0.0,,,,3119.09,3007.63,2983.84,3256.81,,,,3.0,3.0,3.0,3.0,,,,27.0,25.0,27.0,27.0,,,
B000033,2025-04,46,Profession intermédiaire,Patrimonial,Digital,M,12.3,Centre,5397.11,4832.89,5398.64,6062.88,5081.25,4888.11,5176.19,14753.19,15554.17,14816.79,15934.19,16050.32,16423.2,17236.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587.98,1686.9,1729.04,1801.2,1801.45,1718.53,1754.06,4.0,4.0,4.0,4.0,4.0,4.0,4.0,25.0,24.0,25.0,23.0,30.0,27.0,29.0
B000034,2025-04,41,Profession intermédiaire,Grand Public,Mixte,F,28.6,Île-de-France,2636.84,2788.7,2839.26,2964.08,2744.24,3133.6,2978.52,2560.63,,2576.66,2782.32,2836.96,2849.05,3083.45,621.57,676.97,688.33,621.28,713.55,667.73,648.98,1738.65,1775.58,1848.11,1815.65,1719.33,1982.51,1948.63,2.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0
B000035,2025-05,35,Employé,Grand Public,Agence,F,9.3,Île-de-France,1118.47,1160.42,1241.57,1310.3,1185.92,1216.82,1222.86,16635.87,17829.06,16591.47,17144.49,17151.12,17556.31,19048.83,132.71,134.48,132.27,136.48,142.87,143.31,128.3,864.78,774.03,833.43,848.3,863.42,878.47,849.65,4.0,4.0,4.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B000036,2025-02,53,Cadre,Intermédiaire,Digital,F,14.7,Centre,3387.69,3583.09,3609.83,3629.69,3825.14,3510.75,3386.86,34758.37,34911.43,32684.04,31534.21,31375.28,34594.84,38907.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.3,1081.21,1121.01,1012.7,1001.96,1062.93,1194.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,14.0,16.0,16.0,17.0,20.0,20.0
B000037,2025-02,60,Ouvrier,Intermédiaire,Digital,M,9.9,Nord-Ouest,14738.36,14613.92,14324.76,15368.01,15381.48,15297.93,15302.05,9375.01,9496.75,9320.19,10409.97,9339.7,,12552.22,8860.29,9562.53,9019.01,10097.2,10112.43,9832.89,9874.87,1494.58,1539.93,1555.64,1589.39,1612.53,1566.31,1591.02,4.0,4.0,4.0,4.0,4.0,4.0,5.0,25.0,27.0,25.0,25.0,30.0,35.0,34.0
B000038,2025-05,44,Profession intermédiaire,Intermédiaire,Agence,M,6.7,Nord-Ouest,1625.39,1925.98,1770.8,1777.7,1640.59,1805.24,1686.99,9893.4,11236.87,10445.25,10694.62,12193.57,12205.64,13600.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.79,1953.5,2037.7,2005.81,1901.84,2054.49,1995.05,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0
B000039,2025-03,61,Profession intermédiaire,Grand Public,Mixte,F,10.9,Sud-Est,12196.53,12579.68,12649.4,12415.52,11765.25,11929.34,12357.18,721.01,744.45,690.29,747.04,755.93,729.53,766.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.2,1408.75,1360.46,1362.79,1344.96,1472.94,1502.32,,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0
B000040,2025-09,21,Profession intermédiaire,Intermédiaire,Digital,F,17.4,Sud-Ouest,4400.12,4469.7,5365.07,4555.6,5087.8,4750.18,,6398.71,6668.47,6356.2,6811.94,6919.83,6770.62,,549.69,517.92,604.81,568.32,604.05,592.19,,2078.95,2310.43,2294.6,2494.53,2259.32,2069.04,,5.0,5.0,5.0,5.0,5.0,5.0,,21.0,20.0,21.0,21.0,23.0,26.0,
B000041,2025-05,44,Profession intermédiaire,Patrimonial,Digital,F,4.6,Nord-Ouest,6411.82,6717.76,7054.49,6534.5,6437.74,6305.28,6742.63,112864.52,102045.34,106661.91,115372.27,111655.14,119705.83,120391.5,1985.42,1876.3,1767.82,1814.11,1844.83,1826.19,1775.13,1199.55,1224.97,1210.78,1299.16,1285.88,1200.12,1174.88,3.0,3.0,3.0,3.0,4.0,4.0,3.0,11.0,11.0,12.0,11.0,12.0,13.0,13.0
B000042,2025-10,45,Profession intermédiaire,Grand Public,Agence,M,10.0,Nord-Ouest,2238.81,2379.88,2482.85,2656.11,2432.46,,,4005.56,4732.56,4402.61,4811.57,4678.09,,,0.0,0.0,0.0,0.0,0.0,,,1581.99,1731.79,1795.96,1688.57,1932.14,,,2.0,2.0,2.0,2.0,2.0,,,3.0,3.0,3.0,3.0,4.0,,
B000043,2025-09,36,Employé,Grand Public,Mixte,F,14.8,Centre,1276.62,1424.36,1176.59,1336.72,1351.12,1323.3,,2488.33,2054.29,2224.98,2559.25,2285.04,2501.22,,1848.66,1858.72,2119.7,1910.48,1779.28,1845.31,,1917.49,1774.28,1889.53,1777.56,1825.03,1710.26,,3.0,3.0,3.0,3.0,3.0,3.0,,9.0,11.0,11.0,10.0,11.0,12.0,
B000044,2025-04,74,Employé,Grand Public,Digital,M,6.7,Sud-Ouest,2013.41,2110.63,2090.21,2007.13,2040.67,1935.41,2169.96,38498.33,37034.32,38958.23,38361.91,39662.37,38038.58,43522.85,8259.31,8367.56,9003.81,8867.49,8734.11,8157.99,8809.44,972.36,1016.02,931.29,931.76,1071.14,997.25,1059.54,3.0,3.0,3.0,3.0,3.0,3.0,3.0,13.0,14.0,13.0,14.0,16.0,17.0,19.0
B000045,2025-10,44,Profession intermédiaire,Grand Public,Digital,M,16.1,Centre,2524.1,2325.6,2572.61,2499.99,2125.81,,,2680.14,2448.68,2492.01,2361.82,2544.94,,,0.0,0.0,0.0,0.0,0.0,,,2277.77,2251.81,2253.01,2037.88,1957.4,,,4.0,4.0,4.0,4.0,4.0,,,24.0,25.0,25.0,24.0,31.0,,
B000046,2025-10,40,Cadre,Intermédiaire,Digital,M,13.8,Sud-Ouest,2945.74,2916.9,3202.06,3304.36,2965.73,,,56858.0,59074.26,60805.14,62192.62,66691.05,,,1743.76,1739.84,1771.97,1794.64,1705.91,,,786.73,696.33,721.32,797.07,748.76,,,4.0,5.0,5.0,5.0,6.0,,,14.0,17.0,16.0,15.0,18.0,,
B000047,2025-04,45,Retraité,Grand Public,Digital,M,12.7,Sud-Ouest,1209.58,1221.88,1277.11,1136.32,1149.03,1099.08,1135.29,141111.06,140329.41,138966.51,128594.46,138283.5,137404.4,150007.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.77,1391.61,1408.02,1477.21,1490.6,1586.06,1519.08,4.0,4.0,4.0,4.0,4.0,4.0,4.0,18.0,17.0,17.0,17.0,20.0,19.0,20.0
B000048,2025-03,21,Cadre,Grand Public,Digital,M,26.2,Nord-Est,1464.96,1646.37,1518.42,1554.84,1353.93,1422.2,1570.74,4785.97,4892.68,4876.7,5798.5,5012.23,4905.66,5599.78,3297.83,3275.13,3482.38,3471.59,3445.87,3326.44,3150.58,3208.03,2808.82,2852.45,3140.36,2967.47,3020.52,3015.02,2.0,2.0,2.0,2.0,2.0,2.0,2.0,27.0,24.0,25.0,26.0,29.0,31.0,36.0
B000049,2025-09,36,Employé,Grand Public,Digital,F,7.7,Île-de-France,867.72,825.33,876.89,874.98,885.41,796.44,,23644.53,23161.14,22488.43,25796.02,25320.46,25415.05,,1177.63,1195.01,1094.54,1143.12,1220.8,1152.01,,611.79,631.43,630.0,632.32,624.71,745.66,,7.0,7.0,7.0,7.0,7.0,8.0,,23.0,23.0,23.0,24.0,28.0,28.0,
B000050,2025-02,57,Employé,Patrimonial,Digital,F,11.4,Sud-Ouest,3963.19,4055.5,3918.41,4394.29,4351.03,4136.39,4180.62,6345.87,6132.09,6709.17,6323.78,6569.37,7370.35,7102.53,3825.82,4375.88,4624.9,4179.39,4693.04,4158.71,4606.8,4003.32,3925.02,3854.99,4204.69,4137.56,4196.83,4327.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,21.0,22.0,21.0,24.0,27.0,26.0
B000051,2025-03,37,Employé,Intermédiaire,Digital,F,8.8,Sud-Est,1568.97,1634.94,1685.21,1683.49,1670.46,1541.16,1504.37,2334.39,2155.51,2325.79,2168.54,2322.97,2483.1,2376.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.31,1170.35,1126.28,1185.27,1215.87,1218.61,1264.81,4.0,4.0,4.0,4.0,4.0,4.0,5.0,19.0,19.0,15.0,19.0,20.0,23.0,22.0
B000052,2025-01,35,Retraité,Grand Public,Mixte,M,7.8,Nord-Est,6266.44,6661.67,6927.39,7026.17,6173.96,6992.03,6602.94,2994.75,3061.48,2786.57,3101.85,3344.35,3207.33,3575.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.16,1580.61,1431.47,1431.14,1551.61,1414.13,1426.63,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0
B000053,2025-10,61,Employé,Intermédiaire,Mixte,F,19.3,Centre,5863.46,5934.6,6874.62,6388.3,6414.03,,,36152.92,34811.73,37154.69,36976.99,37737.34,,,347.23,326.01,343.38,358.03,356.15,,,4682.94,4319.42,4897.42,4748.19,4514.7,,,5.0,5.0,5.0,5.0,5.0,,,9.0,10.0,9.0,9.0,11.0,,
B000054,2025-09,61,Sans activité,Grand Public,Agence,F,9.1,Sud-Est,4079.3,4219.64,4173.2,4168.65,4292.94,3753.17,,9771.38,8932.57,8973.69,8349.24,9341.58,9974.56,,0.0,0.0,0.0,0.0,0.0,0.0,,1438.94,1638.79,1538.77,1565.42,1695.54,1387.34,,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,
B000055,2025-09,51,Retraité,Intermédiaire,Digital,M,7.7,Sud-Ouest,4199.51,4662.83,4579.89,4812.66,4011.09,4515.05,,11454.99,11792.08,11398.16,12337.56,13023.05,12669.4,,0.0,0.0,0.0,0.0,0.0,0.0,,4767.27,5237.83,5339.53,5239.68,5094.19,5476.48,,7.0,7.0,7.0,7.0,7.0,7.0,,27.0,29.0,28.0,30.0,33.0,36.0,
B000056,2025-10,40,Cadre,Intermédiaire,Agence,F,15.4,Sud-Ouest,5566.82,4948.62,5806.84,5519.99,6268.51,,,3399.28,3539.18,3892.42,3656.38,3834.7,,,0.0,0.0,0.0,0.0,0.0,,,1691.36,1906.04,1828.65,1936.11,1898.44,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,
B000057,2025-05,42,Profession intermédiaire,Grand Public,Agence,F,11.8,Nord-Ouest,,5244.02,5055.47,5031.28,5422.66,4956.43,5155.26,6555.9,5943.34,5985.4,7230.99,6426.63,6820.07,6749.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892.83,2010.68,2031.19,1750.17,1897.89,1927.17,2011.5,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0
B000058,2025-06,35,Profession intermédiaire,Patrimonial,Agence,F,18.0,Centre,9621.98,10202.28,10544.61,11218.34,11219.38,10817.51,10976.54,14138.18,14558.19,15019.32,14750.75,14321.87,16263.1,16125.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3938.31,3743.09,4188.78,3747.62,3925.68,4038.95,4085.67,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
