ID_CLIENT,MOIS_RDV,AGE,CSP,SEGMENT_MARCHE,SEGMENT_COMPORTEMENTAL,SEXE,ANCIENNETE_ANNEES,REGION,ENCOURS_DAV_M6,ENCOURS_DAV_M3,ENCOURS_DAV_M1,ENCOURS_DAV_M,ENCOURS_DAV_P1,ENCOURS_DAV_P3,ENCOURS_DAV_P6,ENCOURS_EPARGNE_M6,ENCOURS_EPARGNE_M3,ENCOURS_EPARGNE_M1,ENCOURS_EPARGNE_M,ENCOURS_EPARGNE_P1,ENCOURS_EPARGNE_P3,ENCOURS_EPARGNE_P6,ENCOURS_CREDIT_M6,ENCOURS_CREDIT_M3,ENCOURS_CREDIT_M1,ENCOURS_CREDIT_M,ENCOURS_CREDIT_P1,ENCOURS_CREDIT_P3,ENCOURS_CREDIT_P6,FLUX_ENTRANTS_M6,FLUX_ENTRANTS_M3,FLUX_ENTRANTS_M1,FLUX_ENTRANTS_M,FLUX_ENTRANTS_P1,FLUX_ENTRANTS_P3,FLUX_ENTRANTS_P6,NB_PRODUITS_M6,NB_PRODUITS_M3,NB_PRODUITS_M1,NB_PRODUITS_M,NB_PRODUITS_P1,NB_PRODUITS_P3,NB_PRODUITS_P6,NB_CONNEXIONS_DIGITALES_M6,NB_CONNEXIONS_DIGITALES_M3,NB_CONNEXIONS_DIGITALES_M1,NB_CONNEXIONS_DIGITALES_M,NB_CONNEXIONS_DIGITALES_P1,NB_CONNEXIONS_DIGITALES_P3,NB_CONNEXIONS_DIGITALES_P6
B001099,2025-07,61,Profession intermédiaire,Intermédiaire,Digital,F,9.5,Nord-Est,2858.4,2878.21,2481.03,2586.12,2789.35,2859.28,,2943.02,2743.46,2770.36,2651.85,2987.0,3041.66,,0.0,0.0,0.0,0.0,0.0,0.0,,2250.18,2282.11,2403.54,2384.39,2391.35,2278.84,,5.0,5.0,5.0,5.0,5.0,5.0,,21.0,21.0,19.0,20.0,19.0,20.0,
B001815,2025-05,61,Profession intermédiaire,Intermédiaire,Mixte,F,13.2,Nord-Ouest,2720.75,2873.26,3005.5,2715.78,2725.26,2743.6,2853.14,15276.61,15392.26,15337.68,14672.31,14305.26,15794.17,16447.63,6560.82,7151.23,7339.23,7229.45,7565.39,7442.67,7512.69,922.26,1018.2,1054.06,992.72,1056.1,1058.94,1077.44,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0
B001420,2025-09,72,Profession intermédiaire,Grand Public,Digital,F,5.5,Île-de-France,721.04,692.03,728.01,705.71,689.05,726.52,,19467.24,20551.15,20866.73,20460.4,21298.25,20561.19,,6485.92,6558.79,6897.52,7135.87,6844.77,6630.5,,1996.8,1905.17,2009.48,1994.87,2036.88,2159.57,,5.0,5.0,5.0,5.0,5.0,5.0,,22.0,25.0,21.0,23.0,23.0,22.0,
B002291,2025-10,45,Ouvrier,Grand Public,Agence,M,22.2,Sud-Ouest,3072.05,2917.85,3252.79,3451.98,3106.21,,,20116.29,20264.1,20033.84,19718.17,22025.17,,,3767.39,3833.83,4155.77,3916.91,3725.4,,,1312.56,1414.38,1373.26,1460.86,1517.28,,,4.0,4.0,4.0,4.0,4.0,,,2.0,2.0,2.0,2.0,2.0,,
B000421,2025-04,27,Retraité,Intermédiaire,Mixte,F,5.2,Île-de-France,8591.65,8409.85,8662.18,9142.64,8926.33,9204.99,8944.25,6498.18,6769.09,6628.52,6391.9,6844.86,6882.57,6872.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.98,1625.43,1746.81,1822.3,1813.34,1667.78,1867.44,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,8.0,6.0
B002474,2025-08,43,Ouvrier,Grand Public,Digital,F,29.2,Sud-Est,1970.79,1817.91,2332.5,2066.11,2142.91,2061.55,,10378.05,10804.19,11422.9,11028.61,10616.96,9871.73,,0.0,0.0,0.0,0.0,0.0,0.0,,1933.06,1888.55,2050.78,1891.77,1980.5,2032.3,,5.0,5.0,5.0,5.0,5.0,5.0,,19.0,20.0,20.0,18.0,19.0,23.0,
B001399,2025-12,62,Employé,Grand Public,Digital,M,9.4,Nord-Est,3458.08,3236.2,3613.38,3425.18,,,,4481.09,4839.36,4531.62,5274.37,,,,0.0,0.0,0.0,0.0,,,,1404.03,1442.86,1381.68,1399.5,,,,3.0,3.0,3.0,3.0,,,,16.0,17.0,16.0,17.0,,,
B001360,2025-02,23,Ouvrier,Intermédiaire,Digital,M,21.7,Centre,3047.3,3341.64,3292.05,3264.13,3175.59,3246.26,3194.41,10789.0,13330.23,12186.57,12418.89,12728.1,13569.34,14434.34,800.59,929.69,868.24,845.92,941.26,967.77,924.21,2175.99,2189.5,2170.29,2224.36,2208.75,2310.7,2207.36,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17.0,17.0,19.0,18.0,18.0,20.0,18.0
B001240,2025-01,39,Ouvrier,Grand Public,Agence,F,18.9,Sud-Est,2318.7,2405.62,2448.28,2315.09,2456.71,2570.26,2620.47,33042.68,34861.61,35317.09,36849.76,35736.34,35483.93,36192.15,2303.17,2388.92,2443.05,2286.33,2427.09,2451.52,2800.01,1628.12,1616.11,1699.12,1668.84,1685.68,1725.98,1808.24,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B001051,2025-09,45,Ouvrier,Grand Public,Agence,F,17.3,Sud-Est,2304.61,2105.69,2159.65,2040.05,2114.75,2209.43,,800.21,782.21,797.55,754.06,682.06,791.95,,0.0,0.0,0.0,0.0,0.0,0.0,,1369.64,1337.38,1369.31,1374.11,,1283.46,,6.0,6.0,6.0,6.0,6.0,6.0,,2.0,2.0,2.0,2.0,2.0,2.0,
B003501,2025-09,52,Sans activité,Grand Public,Agence,F,33.0,Nord-Est,3190.78,3176.83,3226.18,3499.34,3207.27,3050.79,,7293.88,6802.65,6620.16,6795.8,6471.86,5955.56,,0.0,0.0,0.0,0.0,0.0,0.0,,2534.63,2809.45,2978.71,2556.46,2707.67,2592.16,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,
B000558,2025-01,29,Employé,Intermédiaire,Mixte,F,11.0,Nord-Ouest,3297.08,3328.48,3221.38,3113.7,3101.2,3556.77,3575.47,5644.49,4984.24,5306.1,5669.06,5824.28,5785.25,5512.03,1447.11,1357.85,1411.32,1405.85,1357.21,1337.9,1432.41,2008.3,2052.94,1973.94,2071.09,2070.25,1960.7,2266.72,4.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,15.0,,15.0,16.0,15.0,16.0
B003196,2025-01,57,Ouvrier,Intermédiaire,Mixte,M,27.8,Île-de-France,5252.4,5244.56,5356.72,5465.93,5388.94,5280.8,5573.62,12803.82,13671.13,13874.63,13794.48,14243.08,13498.69,14465.76,13227.41,12842.13,13472.63,14398.84,13749.72,13252.24,14478.52,1788.9,1990.34,1881.87,1915.5,1874.91,2040.64,1992.49,5.0,5.0,5.0,4.0,5.0,5.0,5.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0
B000352,2025-02,62,Employé,Grand Public,Agence,F,33.3,Centre,1984.89,1810.23,1854.81,1917.06,1959.76,2061.41,1901.3,7866.73,7976.39,7865.68,7617.54,7909.33,8077.11,7919.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.29,1124.36,1118.6,1269.7,1257.37,1258.06,1206.56,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0
B000231,2025-11,28,Employé,Intermédiaire,Digital,M,6.2,Sud-Ouest,3646.84,4012.67,3804.13,3722.32,3822.77,,,5478.26,5706.3,5444.49,5171.4,5647.27,,,0.0,0.0,0.0,0.0,0.0,,,2407.47,2410.2,2311.55,2430.19,2544.91,,,4.0,4.0,4.0,4.0,4.0,,,17.0,19.0,20.0,17.0,20.0,,
B002514,2025-11,26,Ouvrier,Intermédiaire,Digital,M,27.5,Sud-Est,3618.79,3872.12,3640.15,3671.94,3820.32,,,12455.17,13466.36,12683.04,12899.44,13510.2,,,3698.25,3730.34,3687.2,3754.88,3871.61,,,2487.12,2478.89,2551.67,2546.63,2447.27,,,4.0,4.0,4.0,4.0,4.0,,,24.0,26.0,23.0,24.0,27.0,,
B002726,2025-02,44,Retraité,Grand Public,Digital,F,10.6,Sud-Ouest,2736.95,2799.12,2446.24,2532.77,2629.76,2486.18,2362.61,7363.46,7057.76,7096.85,7387.99,6873.94,6555.2,6766.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2624.41,2385.34,2662.95,2481.96,2298.5,2487.27,2710.83,3.0,3.0,3.0,3.0,3.0,3.0,3.0,28.0,29.0,29.0,30.0,26.0,26.0,27.0
B001433,2025-04,34,Employé,Intermédiaire,Digital,M,15.7,Nord-Est,2077.56,1873.12,2093.63,1955.6,2013.59,1999.41,2080.62,79076.97,76557.45,85535.62,83110.75,78802.51,76921.57,78832.38,1087.98,1179.11,1212.06,1190.26,1206.57,1173.01,1158.91,1402.75,1368.97,1509.43,1341.4,1396.48,1336.25,1430.59,2.0,2.0,2.0,2.0,2.0,2.0,2.0,25.0,24.0,26.0,27.0,28.0,25.0,24.0
B001509,2025-03,61,Ouvrier,Grand Public,Digital,M,2.0,Nord-Ouest,2087.65,1940.54,2153.78,2116.78,2242.96,2201.94,2356.19,1812.13,1769.78,1699.92,1796.21,1703.14,1692.99,1905.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037.01,2224.01,2245.82,2204.28,2300.03,2120.72,2133.87,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0
B000702,2025-07,48,Retraité,Grand Public,Mixte,F,14.9,Nord-Est,4241.39,4519.4,4348.98,4135.68,4182.78,4629.34,,8184.13,8382.47,8588.72,8878.53,8739.77,8802.58,,0.0,0.0,0.0,0.0,0.0,0.0,,3334.3,3760.8,3737.16,3445.87,3601.14,3692.34,,3.0,3.0,3.0,3.0,3.0,3.0,,8.0,7.0,8.0,9.0,8.0,8.0,
B000350,2025-03,49,Employé,Grand Public,Agence,F,7.9,Sud-Est,1912.26,1990.8,2109.22,1759.47,1957.94,1937.19,1634.38,15125.07,15237.76,14677.83,15650.04,14347.19,14238.69,14059.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035.53,2084.1,1896.2,2085.4,1778.23,1845.69,1903.39,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
B001697,2025-02,26,Retraité,Grand Public,Mixte,F,10.9,Centre,1759.47,1543.98,1634.3,1530.58,1666.49,1583.13,1625.82,6808.73,6867.12,6125.51,6857.3,6699.58,7177.04,6904.09,58910.54,53940.31,59124.93,58214.68,56232.19,56321.31,46577.02,2400.06,2380.77,2192.61,1896.49,2375.43,2311.92,2287.34,2.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0
B000281,2025-05,38,Profession intermédiaire,Grand Public,Mixte,F,7.6,Nord-Est,2513.07,2420.71,2361.93,2555.59,2698.97,2634.8,2436.49,4542.58,4254.04,4568.89,4787.76,4638.5,4784.77,4772.29,11034.14,10317.98,10817.62,10310.35,11077.55,12465.22,10880.38,1473.22,1724.19,1786.57,1558.69,1554.19,1460.75,1676.27,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,11.0,11.0,11.0,12.0,12.0,13.0
B001490,2025-10,44,Sans activité,Intermédiaire,Digital,M,11.3,Sud-Est,4226.17,3822.97,4035.31,4096.29,4131.0,,,5152.21,5344.5,5946.57,5555.18,5353.43,,,0.0,0.0,0.0,0.0,0.0,,,1657.46,1546.35,1508.4,1624.11,1749.12,,,7.0,6.0,7.0,7.0,7.0,,,18.0,20.0,20.0,20.0,18.0,,
B000631,2025-12,70,Profession intermédiaire,Grand Public,Digital,F,23.9,Nord-Ouest,12026.79,12747.6,13096.07,13296.86,,,,10554.31,10920.11,11188.89,11265.46,,,,0.0,0.0,0.0,0.0,,,,1142.62,1167.99,1159.07,1139.42,,,,2.0,2.0,2.0,2.0,,,,26.0,26.0,23.0,24.0,,,
B000746,2025-05,32,Cadre,Grand Public,Agence,M,7.3,Nord-Ouest,4134.15,4251.18,4358.29,4131.9,4379.6,4178.27,3971.29,2677.05,2586.86,2380.71,2651.93,2602.71,2433.84,2796.6,5950.11,5396.04,5438.04,5991.87,5381.33,5425.94,5679.37,2733.38,2499.39,2484.23,2423.13,2472.48,2526.02,2399.94,6.0,7.0,7.0,7.0,7.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B002875,2025-04,34,Employé,Grand Public,Digital,M,5.8,Sud-Ouest,1436.16,1445.04,1426.7,1437.02,1483.52,1375.23,1397.38,68708.68,74025.09,71349.76,66351.52,67494.93,81298.95,70330.09,11299.04,11505.42,11823.37,11140.4,10872.69,11321.01,11730.28,1902.44,1975.87,1866.23,1859.81,1880.42,1836.91,2037.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,33.0,33.0,38.0,34.0,37.0,37.0
B002829,2025-01,37,Profession intermédiaire,Grand Public,Agence,M,11.3,Sud-Ouest,2955.82,2733.41,3146.15,2853.26,2683.47,2804.83,2948.68,13884.17,13956.06,13413.6,13662.65,13981.9,14748.35,13058.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.05,1106.2,1015.02,1041.76,1048.09,1148.76,956.37,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
B001165,2025-01,52,Retraité,Grand Public,Agence,M,10.7,Centre,1057.21,1079.47,994.7,1041.31,1052.85,1070.54,1078.17,6532.14,7119.2,7382.64,6676.81,7097.34,7547.14,7164.49,0.0,0.0,0.0,0.0,0.0,0.0,,1035.8,950.13,1026.09,1064.8,1091.06,1000.66,989.73,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
B003192,2025-09,63,Sans activité,Grand Public,Agence,F,4.5,Île-de-France,4473.93,4472.53,4376.08,5444.2,5045.85,4662.51,,5203.79,5332.98,5317.58,5511.35,5485.93,5526.36,,0.0,0.0,0.0,0.0,0.0,0.0,,5066.7,5287.01,5640.8,5516.1,5789.32,5726.43,,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,
B000774,2025-09,27,Employé,Intermédiaire,Mixte,M,5.0,Nord-Ouest,4923.26,4345.32,4450.84,4643.43,4842.54,4680.76,,5908.65,6122.47,5554.73,5822.37,5909.73,6443.65,,0.0,0.0,0.0,0.0,0.0,0.0,,1836.17,1676.87,1653.89,1762.83,1783.53,1692.56,,2.0,2.0,2.0,2.0,2.0,2.0,,12.0,13.0,13.0,13.0,13.0,13.0,
B001768,2025-10,57,Employé,Grand Public,Mixte,F,23.7,Sud-Est,6987.4,6996.41,6930.01,7066.37,6981.75,,,11882.17,11805.96,11801.74,12478.0,12539.42,,,5467.04,5196.29,5248.67,5571.31,4849.3,,,1759.04,1783.76,1639.61,1676.79,1613.36,,,4.0,4.0,4.0,4.0,4.0,,,11.0,11.0,11.0,12.0,11.0,,
B003392,2025-03,30,Cadre,Grand Public,Digital,M,3.7,Nord-Est,7064.92,7503.87,7273.31,7865.66,7283.87,7220.38,7139.4,4431.77,4230.86,4120.37,4293.05,4509.47,4360.79,4300.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6133.74,6554.78,5870.65,6249.95,6365.74,6774.27,6710.29,5.0,5.0,5.0,5.0,5.0,,5.0,22.0,20.0,19.0,20.0,21.0,22.0,21.0
B002127,2025-05,50,Ouvrier,Intermédiaire,Agence,M,12.4,Île-de-France,2295.49,2553.72,2550.19,2306.78,2381.17,2331.24,2420.56,26672.96,25677.77,27239.89,27653.61,25300.15,26679.04,28482.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038.81,2215.37,2156.65,2068.94,,1958.35,2059.76,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
B003287,2025-05,46,Ouvrier,Intermédiaire,Mixte,M,16.8,Sud-Est,8712.45,8888.46,7939.06,9332.68,8584.32,9508.52,9238.26,4711.59,4977.47,4984.35,4727.27,5372.99,4951.03,5135.17,45158.31,47348.8,45343.75,49426.82,48040.47,51410.1,49489.22,1313.51,1372.17,1349.61,1356.1,1420.53,1318.37,1506.08,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
B003929,2025-11,62,Cadre,Intermédiaire,Agence,F,15.1,Sud-Est,12137.36,13560.18,12677.67,12606.55,12458.36,,,9349.16,8621.57,9015.16,9123.09,8419.47,,,4422.23,4563.8,4408.85,4454.48,4399.92,,,1708.35,1496.88,1757.24,1844.66,1666.95,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,
B001795,2025-05,54,Ouvrier,Grand Public,Digital,F,20.2,Centre,2755.1,2861.61,2806.61,2814.77,3152.94,3018.57,2891.45,29010.3,30556.29,32364.95,32496.74,31904.96,35248.89,32639.76,24796.82,24878.83,25616.45,26251.77,28449.03,27970.73,28631.49,2105.6,2106.52,2302.12,2253.67,2016.52,2152.05,2213.89,2.0,2.0,2.0,2.0,2.0,2.0,2.0,25.0,26.0,26.0,25.0,27.0,27.0,27.0
B002668,2025-06,40,Cadre,Intermédiaire,Agence,F,21.6,Sud-Est,935.21,826.39,780.87,911.9,866.95,844.93,896.21,3690.45,3736.38,3821.2,3604.58,3842.88,3794.62,3570.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.48,969.88,960.26,935.25,972.61,918.88,930.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
B002728,2025-10,33,Sans activité,Grand Public,Mixte,M,10.9,Nord-Est,1690.88,1514.58,1694.44,1565.37,1593.04,,,14545.1,13459.29,14191.12,15421.56,15721.16,,,7008.34,6740.37,7467.22,6741.99,6869.71,,,2490.01,2454.2,2450.74,2458.6,2495.21,,,6.0,6.0,6.0,6.0,6.0,,,11.0,12.0,11.0,13.0,12.0,,
B000369,2025-10,45,Cadre,Grand Public,Digital,F,14.0,Île-de-France,891.48,843.58,872.61,926.92,907.76,,,27208.25,26555.64,28851.91,26393.57,26132.25,,,707.37,727.4,749.38,731.64,780.32,,,1948.5,1985.41,1897.48,1805.86,1775.87,,,2.0,2.0,2.0,2.0,2.0,,,21.0,21.0,21.0,23.0,23.0,,
B000711,2025-02,36,Cadre,Grand Public,Digital,F,17.9,Sud-Ouest,1248.55,1219.02,1269.72,1365.23,1291.23,1288.9,1339.2,3493.93,3737.07,3645.89,3861.46,3705.71,3571.17,3750.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.05,1135.43,1150.23,1111.45,,1088.94,1145.47,3.0,3.0,3.0,3.0,3.0,3.0,3.0,22.0,21.0,23.0,23.0,23.0,21.0,21.0
B000762,2025-06,62,Employé,Grand Public,Digital,M,10.0,Nord-Ouest,2328.17,2396.7,2330.67,2380.77,2264.41,2432.15,2293.33,1134.29,1084.06,1124.1,1018.16,1094.29,1023.53,1000.74,7656.2,6821.02,7067.34,7126.29,6729.12,6999.54,6690.59,2153.61,2092.01,2048.1,2004.64,2077.58,2083.57,1909.55,4.0,4.0,4.0,4.0,4.0,4.0,4.0,29.0,29.0,28.0,29.0,25.0,29.0,28.0
B000436,2025-06,71,Ouvrier,Intermédiaire,Digital,M,21.7,Sud-Est,2726.65,2549.61,2570.41,2707.39,2819.11,2809.05,2585.75,26112.59,27841.74,26388.74,25126.23,25927.76,27299.82,27691.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.5,2650.98,2935.24,2704.97,2857.85,3077.95,3011.45,4.0,4.0,4.0,4.0,4.0,,5.0,,24.0,26.0,26.0,26.0,26.0,28.0
B002396,2025-04,61,Profession intermédiaire,Intermédiaire,Agence,M,16.6,Sud-Est,3906.38,4608.51,4681.95,4740.33,4969.0,4875.55,4756.77,19541.07,17160.68,19008.98,17291.07,19635.55,18465.88,17080.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835.71,1760.34,1548.63,1894.82,1805.99,1873.83,1866.45,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B000997,2025-02,47,Cadre,Intermédiaire,Digital,F,3.4,Sud-Ouest,7964.65,7587.11,8004.56,8269.32,7546.68,7709.93,8308.26,32961.35,34310.96,31453.36,31944.9,30997.12,34940.54,31571.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2517.37,2432.58,2189.76,2167.11,2379.04,2192.53,2456.59,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0
